Area,Date,Discharged,Fatal,Hosp_require,Hosp_severe,Positive,Tested,Vaccinated_1st,Vaccinated_2nd
Domestic,2/6/2020,4,0,,0,16,132,,
Returnee,2/6/2020,0,0,,0,9,566,,
Domestic,2/7/2020,4,0,,0,16,151,,
Returnee,2/7/2020,0,0,,0,9,566,,
Domestic,2/10/2020,9,0,,0,16,174,,
Returnee,2/10/2020,0,0,,0,10,764,,
Domestic,2/12/2020,10,0,,0,16,190,,
Returnee,2/12/2020,0,0,,0,12,764,,
Domestic,2/13/2020,11,0,,0,17,200,,
Returnee,2/13/2020,0,0,,0,12,764,,
Domestic,2/14/2020,11,0,,0,21,214,,
Returnee,2/14/2020,1,0,,0,12,764,,
Domestic,2/17/2020,13,1,,3,46,487,,
Returnee,2/17/2020,3,0,,0,13,764,,
Domestic,2/18/2020,12,1,,3,53,523,,
Returnee,2/18/2020,4,0,,0,13,764,,
Domestic,2/19/2020,14,1,,6,60,532,,
Returnee,2/19/2020,4,0,,0,13,764,,
Domestic,2/20/2020,16,1,,7,70,603,,
Returnee,2/20/2020,4,0,,0,14,829,,
Domestic,2/21/2020,16,1,,9,79,693,,
Returnee,2/21/2020,4,0,,0,14,829,,
Domestic,2/22/2020,17,1,,10,90,778,,
Returnee,2/22/2020,7,0,,0,15,829,,
Domestic,2/23/2020,17,1,,11,114,874,,
Returnee,2/23/2020,7,0,,0,15,829,,
Domestic,2/24/2020,17,1,,13,126,913,,
Returnee,2/24/2020,9,0,,0,15,829,,
Domestic,2/25/2020,9,1,,14,140,1017,,
Returnee,2/25/2020,9,0,,0,15,829,,
Domestic,2/26/2020,23,1,,15,149,1061,,
Returnee,2/26/2020,9,0,,0,15,829,,
Domestic,2/27/2020,30,3,,16,171,1229,,
Returnee,2/27/2020,10,0,,0,15,829,,
Domestic,2/28/2020,30,4,,20,195,1380,,
Returnee,2/28/2020,11,0,,0,15,829,,
Domestic,2/29/2020,31,5,,22,215,1510,,
Returnee,2/29/2020,15,0,,0,15,829,,
Domestic,3/1/2020,31,5,,23,224,1688,,
Returnee,3/1/2020,15,0,,0,15,829,,
Domestic,3/2/2020,32,6,,23,239,1784,,
Returnee,3/2/2020,15,0,,0,15,829,,
Domestic,3/3/2020,35,6,,24,253,1855,,
Returnee,3/3/2020,15,0,,0,15,829,,
Domestic,3/4/2020,37,6,,24,269,5690,,
Returnee,3/4/2020,15,0,,0,15,829,,
Domestic,3/5/2020,38,6,,27,302,5948,,
Airport,3/5/2020,0,0,,0,1,,,
Returnee,3/5/2020,15,0,,0,15,829,,
Domestic,3/6/2020,56,6,,30,333,6647,,
Airport,3/6/2020,0,0,,0,1,,,
Returnee,3/6/2020,15,0,,0,15,829,,
Domestic,3/7/2020,63,6,,28,392,7200,,
Airport,3/7/2020,0,0,,0,1,,,
Returnee,3/7/2020,15,0,,0,15,829,,
Domestic,3/8/2020,67,6,,27,439,7347,,
Airport,3/8/2020,0,0,,0,1,,,
Returnee,3/8/2020,15,0,,0,15,829,,
Domestic,3/9/2020,88,7,,33,472,7457,,
Airport,3/9/2020,0,0,,0,1,,,
Returnee,3/9/2020,15,0,,0,15,829,,
Domestic,3/10/2020,89,9,,31,498,8771,,
Airport,3/10/2020,0,0,,0,1,,,
Returnee,3/10/2020,15,0,,0,15,829,,
Domestic,3/11/2020,103,12,,26,552,9195,,
Airport,3/11/2020,0,0,,0,1,,,
Returnee,3/11/2020,15,0,,0,15,829,,
Domestic,3/12/2020,108,15,,29,608,9376,,
Airport,3/12/2020,0,0,,0,1,,,
Returnee,3/12/2020,15,0,,0,15,829,,
Domestic,3/13/2020,120,19,,32,659,11231,,
Airport,3/13/2020,0,0,,0,2,,,
Returnee,3/13/2020,15,0,,0,15,829,,
Domestic,3/14/2020,129,21,,35,699,12090,,
Airport,3/14/2020,0,0,,0,2,,,
Returnee,3/14/2020,15,0,,0,15,829,,
Domestic,3/15/2020,142,22,,36,762,12197,,
Airport,3/15/2020,0,0,,0,3,,,
Returnee,3/15/2020,15,0,,0,15,829,,
Domestic,3/16/2020,149,24,,41,794,12239,,
Airport,3/16/2020,0,0,,0,5,,,
Returnee,3/16/2020,15,0,,0,15,829,,
Domestic,3/17/2020,156,28,,46,809,12989,,
Airport,3/17/2020,0,0,,0,5,,,
Returnee,3/17/2020,15,0,,0,15,829,,
Domestic,3/18/2020,176,29,,46,853,13192,,
Airport,3/18/2020,0,0,,0,5,,,
Returnee,3/18/2020,15,0,,0,15,829,,
Domestic,3/19/2020,200,31,,49,892,14072,,
Airport,3/19/2020,0,0,,0,7,,,
Returnee,3/19/2020,15,0,,0,15,829,,
Domestic,3/20/2020,212,33,,50,928,18015,,
Airport,3/20/2020,0,0,,0,7,,,
Returnee,3/20/2020,15,0,,0,15,829,,
Domestic,3/21/2020,217,35,,55,981,18134,,
Airport,3/21/2020,0,0,,0,11,1137,,
Returnee,3/21/2020,15,0,,0,15,829,,
Domestic,3/22/2020,257,36,,57,1015,18226,,
Airport,3/22/2020,0,0,,0,16,1173,,
Returnee,3/22/2020,15,0,,0,15,829,,
Domestic,3/23/2020,260,41,,54,1057,18322,,
Airport,3/23/2020,0,0,,0,17,1189,,
Returnee,3/23/2020,15,0,,0,15,829,,
Domestic,3/24/2020,285,42,,55,1095,22184,,
Airport,3/24/2020,1,0,,0,18,1417,,
Returnee,3/24/2020,15,0,,0,15,829,,
Domestic,3/25/2020,294,43,,57,1160,21266,,
Airport,3/25/2020,1,0,,0,18,1426,,
Returnee,3/25/2020,15,0,,0,15,829,,
Domestic,3/26/2020,343,45,,56,1254,22858,,
Airport,3/26/2020,1,0,,0,23,1484,,
Returnee,3/26/2020,15,0,,0,15,829,,
Domestic,3/27/2020,356,46,,56,1349,24663,,
Airport,3/27/2020,1,0,,0,23,1513,,
Returnee,3/27/2020,15,0,,0,15,829,,
Domestic,3/28/2020,388,49,,60,1453,26105,,
Airport,3/28/2020,1,0,,0,31,1530,,
Returnee,3/28/2020,15,0,,0,15,829,,
Domestic,3/29/2020,408,52,,59,1647,26401,,
Airport,3/29/2020,1,0,,0,31,1530,,
Returnee,3/29/2020,15,0,,0,15,829,,
Domestic,3/30/2020,408,54,,59,1820,26607,,
Airport,3/30/2020,1,0,,0,31,1530,,
Returnee,3/30/2020,15,0,,0,15,829,,
Domestic,3/31/2020,408,56,,59,1887,30088,,
Airport,3/31/2020,1,0,,0,51,1580,,
Returnee,3/31/2020,15,0,,0,15,829,,
Domestic,4/1/2020,456,57,,60,2107,32002,,
Airport,4/1/2020,1,0,,0,56,1677,,
Returnee,4/1/2020,15,0,,0,15,829,,
Domestic,4/2/2020,489,60,,62,2306,32002,,
Airport,4/2/2020,1,0,,0,60,1679,,
Returnee,4/2/2020,15,0,,0,15,829,,
Domestic,4/3/2020,498,63,,64,2541,36687,,
Airport,4/3/2020,1,0,,0,61,1930,,
Returnee,4/3/2020,15,0,,0,15,829,,
Domestic,4/4/2020,559,69,,69,2855,39992,,
Airport,4/4/2020,1,0,,0,65,2061,,
Returnee,4/4/2020,15,0,,0,15,829,,
Domestic,4/5/2020,568,70,,70,3191,40263,,
Airport,4/5/2020,1,0,,0,65,3547,,
Returnee,4/5/2020,15,0,,0,15,829,,
Domestic,4/6/2020,575,73,,79,3569,40481,,
Airport,4/6/2020,2,0,,0,70,4862,,
Returnee,4/6/2020,15,0,,0,15,829,,
Domestic,4/7/2020,605,80,,80,3817,48357,,
Airport,4/7/2020,2,0,,0,74,6125,,
Returnee,4/7/2020,15,0,,0,15,829,,
Domestic,4/8/2020,615,81,,99,4168,52901,,
Airport,4/8/2020,2,0,,0,74,7768,,
Returnee,4/8/2020,15,0,,0,15,829,,
Domestic,4/9/2020,668,85,,109,4667,54284,,
Airport,4/9/2020,2,0,,0,86,9274,,
Returnee,4/9/2020,15,0,,0,15,829,,
Domestic,4/10/2020,697,88,,117,5246,57125,,
Airport,4/10/2020,2,0,,0,86,10817,,
Returnee,4/10/2020,15,0,,0,15,829,,
Domestic,4/11/2020,745,94,,122,5902,61991,,
Airport,4/11/2020,2,0,,0,88,12071,,
Returnee,4/11/2020,15,0,,0,15,829,,
Domestic,4/12/2020,767,98,,129,6616,63132,,
Airport,4/12/2020,2,0,,0,117,13420,,
